y,1,12
y,1,16
y,1,17
y,1,20
y,1,24
y,1,43
y,1,37
y,1,8
y,1,4
y,0.9,49
y,0.9,29
y,1,71
y,1,28
y,1,25
y,1,41
y,1,26
y,1,15
y,1,15
y,1,26
y,1,54
y,0.5999999,253
y,1,7
y,1,41
y,1,11
y,1,31
y,0.9,15
y,1,11
y,0.9,23
y,1,26
y,1,19
y,0.9,61
y,1,35
y,1,34
y,1,21
y,1,46
y,1,55
y,1,43
y,1,10
y,1,90
y,1,22
y,1,20
y,1,8
y,1,21
y,1,15
y,1,46
y,1,23
y,0.9,106
y,1,21
y,1,7
y,1,46
y,1,7
y,1,7
y,1,39
y,1,26
y,1,8
y,1,18
y,0.9,40
y,0.8,62
y,1,28
y,1,5
y,1,11
y,1,53
y,1,9
y,0.9,38
y,0.9,39
y,1,24
y,1,49
y,0.9,33
y,1,3
y,1,17
y,1,10
y,1,23
y,1,35
y,1,19
y,1,4
y,1,5
y,0.9,18
y,0.9,36
y,1,26
y,1,28
y,1,63
y,1,16
y,1,27
y,1,20
y,1,36
y,1,24
y,1,28
y,1,23
y,1,45
y,1,16
y,1,7
y,1,16
y,1,36
y,1,48
y,1,64
y,0.9,26
y,1,4
y,0.9,16
y,1,15
y,0.5999999,106
y,1,15
y,1,34
y,1,27
y,1,25
y,1,29
y,1,34
y,1,12
y,1,42
y,0.9,24
y,1,49
y,0.9,56
y,1,13
y,1,11
y,1,32
y,1,14
y,0.9,87
y,1,23
y,1,6
y,1,27
y,1,6
y,1,34
y,0.9,56
y,1,10
y,1,44
y,1,3
y,1,60
y,1,43
y,1,31
y,1,17
y,1,29
y,1,2
y,1,22
y,1,57
y,1,32
y,1,24
y,1,17
y,1,30
y,1,42
y,1,14
y,1,9
y,1,53
y,1,4
y,1,16
y,1,27
y,0.9,13
y,1,33
y,1,17
y,1,8
y,0.9,32
y,1,52
y,1,5
y,1,34
y,1,24
y,1,23
y,1,32
y,1,21
y,1,55
y,1,47
y,1,27
y,0.9,12
y,1,60
y,1,41
y,1,28
y,1,15
y,1,49
y,1,58
y,1,54
y,1,14
y,1,31
y,0.9,54
y,1,25
y,1,5
y,1,32
y,0.9,77
y,0.9,19
y,1,48
y,1,36
y,1,18
y,1,32
y,0.9,102
y,1,40
y,0.9,64
y,1,23
y,1,29
y,0.9,4
y,1,20
y,1,14
y,1,46
y,1,26
y,1,38
y,0.9,33
y,0.8,29
y,1,30
y,1,12
y,1,16
y,1,19
y,1,2
y,0.9,35
y,1,47
y,0.9,36
y,1,32
y,1,10
y,1,34
y,1,21
y,1,19
y,0.9,42
y,1,24
y,1,29
y,1,24
y,0.8,67
y,1,23
y,0.9,27
y,0.9,20
